report_year,agency_jurisdiction,population,homicides,rapes,assaults,robberies
1976,"Cincinnati, OH",427045.0,56.0,263.0,1617.0,1525.0
1976,"Cleveland, OH",642298.0,236.0,498.0,2309.0,5453.0
1976,"Columbus, OH",595500.0,53.0,328.0,985.0,1921.0
1976,"Dallas, TX",888450.0,230.0,591.0,3310.0,3113.0
1976,"Denver, CO",523676.0,86.0,383.0,1596.0,2042.0
1976,"Detroit, MI",1334100.0,663.0,1230.0,6593.0,21213.0
1976,"El Paso, TX",361413.0,25.0,118.0,638.0,792.0
1976,"Fairfax County, VA",524272.0,17.0,84.0,270.0,337.0
1976,"Fort Worth, TX",364302.0,70.0,174.0,503.0,985.0
1976,"Fresno, CA",177900.0,28.0,55.0,461.0,723.0
1976,"Honolulu, HI",718424.0,40.0,164.0,380.0,1112.0
1976,"Houston, TX",1477000.0,321.0,690.0,1503.0,5531.0
1976,"Indianapolis, IN",494730.0,68.0,347.0,1363.0,2366.0
1976,"Jacksonville, FL",543839.0,90.0,279.0,2516.0,1558.0
1976,"Kansas City, MO",488012.0,95.0,350.0,2723.0,2410.0
1976,"Las Vegas, NV",265347.0,35.0,151.0,1011.0,1276.0
1976,"Long Beach, CA",340900.0,69.0,200.0,978.0,1703.0
1976,"Los Angeles County, CA",1027865.0,155.0,564.0,6662.0,2723.0
1976,"Los Angeles, CA",2739100.0,501.0,2047.0,15187.0,14225.0
1976,"Memphis, TN",649819.0,113.0,472.0,1766.0,2429.0
1976,"Mesa, AZ",100763.0,5.0,15.0,202.0,89.0
1976,"Miami-Dade County, FL",649499.0,70.0,216.0,4562.0,1939.0
1976,"Miami, FL",338721.0,84.0,145.0,2630.0,2313.0
1976,"Milwaukee, WI",652517.0,57.0,168.0,846.0,1621.0
1976,"Minneapolis, MN",397421.0,27.0,300.0,1220.0,1407.0
1976,"Montgomery County, MD",480055.0,26.0,85.0,257.0,564.0
1976,"Nashville, TN",445979.0,74.0,129.0,906.0,1722.0
1976,"Nassau County, NY",1053093.0,20.0,23.0,185.0,659.0
1976,"New Orleans, LA",557327.0,170.0,264.0,1776.0,2600.0
1976,"New York City, NY",7530493.0,1622.0,3400.0,42948.0,86183.0
1976,"Newark, NJ",367886.0,99.0,323.0,2309.0,3834.0
1976,"Oakland, CA",333100.0,98.0,309.0,2213.0,2894.0
1976,"Oklahoma City, OK",376522.0,36.0,228.0,1326.0,770.0
1976,"Omaha, NE",388592.0,19.0,193.0,1008.0,788.0
1976,"Orlando, FL",116848.0,17.0,98.0,676.0,327.0
1976,"Philadelphia, PA",1916665.0,338.0,764.0,4225.0,7786.0
1976,"Phoenix, AZ",669005.0,53.0,240.0,2078.0,1485.0
1976,"Pittsburgh, PA",487106.0,62.0,287.0,1853.0,2419.0
1976,"Portland, OR",379818.0,39.0,322.0,2030.0,1913.0
1976,"Prince George's County, MD",578318.0,37.0,280.0,1611.0,1941.0
1976,"Raleigh, NC",148093.0,11.0,29.0,353.0,138.0
1976,"Sacramento, CA",260700.0,52.0,192.0,1368.0,1187.0
1976,"Salt Lake City, UT",175400.0,11.0,102.0,364.0,482.0
1976,"San Antonio, TX",753069.0,119.0,263.0,1641.0,1262.0
